tunti,suunnitellut,ajetut,luotettavuus,paiva
0,219,218,99.54,2026-06-19
1,187,184,98.4,2026-06-19
2,151,151,100.0,2026-06-19
3,138,138,100.0,2026-06-19
4,87,87,100.0,2026-06-19
5,268,266,99.25,2026-06-19
6,449,447,99.55,2026-06-19
7,514,512,99.61,2026-06-19
8,579,576,99.48,2026-06-19
9,721,717,99.45,2026-06-19
10,799,795,99.5,2026-06-19
11,817,813,99.51,2026-06-19
12,818,814,99.51,2026-06-19
13,810,803,99.14,2026-06-19
14,816,807,98.9,2026-06-19
15,814,808,99.26,2026-06-19
16,811,803,99.01,2026-06-19
17,806,797,98.88,2026-06-19
18,786,777,98.85,2026-06-19
19,729,722,99.04,2026-06-19
20,666,657,98.65,2026-06-19
21,580,576,99.31,2026-06-19
22,524,520,99.24,2026-06-19
23,388,387,99.74,2026-06-19
0,31,31,100.0,2026-06-20
1,13,13,100.0,2026-06-20
2,8,8,100.0,2026-06-20
3,8,8,100.0,2026-06-20
4,8,8,100.0,2026-06-20
5,42,42,100.0,2026-06-20
6,149,149,100.0,2026-06-20
7,179,179,100.0,2026-06-20
8,198,198,100.0,2026-06-20
9,232,232,100.0,2026-06-20
10,264,264,100.0,2026-06-20
11,273,272,99.63,2026-06-20
12,277,276,99.64,2026-06-20
13,275,274,99.64,2026-06-20
14,273,272,99.63,2026-06-20
15,275,274,99.64,2026-06-20
16,275,274,99.64,2026-06-20
17,274,274,100.0,2026-06-20
18,269,268,99.63,2026-06-20
19,265,264,99.62,2026-06-20
20,244,243,99.59,2026-06-20
21,217,216,99.54,2026-06-20
22,185,183,98.92,2026-06-20
23,137,136,99.27,2026-06-20
0,202,198,98.02,2026-06-21
1,125,123,98.4,2026-06-21
2,23,22,95.65,2026-06-21
3,8,8,100.0,2026-06-21
4,18,17,94.44,2026-06-21
5,135,133,98.52,2026-06-21
6,375,372,99.2,2026-06-21
7,455,450,98.9,2026-06-21
8,510,504,98.82,2026-06-21
9,612,609,99.51,2026-06-21
10,705,698,99.01,2026-06-21
11,730,725,99.32,2026-06-21
12,739,732,99.05,2026-06-21
13,736,729,99.05,2026-06-21
14,734,726,98.91,2026-06-21
15,736,733,99.59,2026-06-21
16,735,729,99.18,2026-06-21
17,730,728,99.73,2026-06-21
18,723,719,99.45,2026-06-21
19,701,696,99.29,2026-06-21
20,665,660,99.25,2026-06-21
21,596,594,99.66,2026-06-21
22,524,520,99.24,2026-06-21
23,380,379,99.74,2026-06-21
0,214,211,98.6,2026-06-22
1,131,128,97.71,2026-06-22
2,23,22,95.65,2026-06-22
3,10,10,100.0,2026-06-22
4,132,132,100.0,2026-06-22
5,614,613,99.84,2026-06-22
6,982,981,99.9,2026-06-22
7,1119,1118,99.91,2026-06-22
8,1113,1101,98.92,2026-06-22
9,1039,1031,99.23,2026-06-22
10,1014,1008,99.41,2026-06-22
11,998,993,99.5,2026-06-22
12,1016,1009,99.31,2026-06-22
13,1060,1054,99.43,2026-06-22
14,1111,1108,99.73,2026-06-22
15,1121,1117,99.64,2026-06-22
16,1121,1117,99.64,2026-06-22
17,1065,1057,99.25,2026-06-22
18,961,956,99.48,2026-06-22
19,866,862,99.54,2026-06-22
20,769,764,99.35,2026-06-22
21,645,641,99.38,2026-06-22
22,559,554,99.11,2026-06-22
23,395,391,98.99,2026-06-22
0,214,213,99.53,2026-06-23
1,131,131,100.0,2026-06-23
2,23,23,100.0,2026-06-23
3,10,10,100.0,2026-06-23
4,132,131,99.24,2026-06-23
5,614,613,99.84,2026-06-23
6,982,980,99.8,2026-06-23
7,1119,1117,99.82,2026-06-23
8,1113,1104,99.19,2026-06-23
9,1039,1032,99.33,2026-06-23
10,1014,1005,99.11,2026-06-23
11,998,992,99.4,2026-06-23
12,1016,1004,98.82,2026-06-23
13,1060,1049,98.96,2026-06-23
14,1111,1100,99.01,2026-06-23
15,1121,1113,99.29,2026-06-23
16,1121,1115,99.46,2026-06-23
17,1065,1057,99.25,2026-06-23
18,961,953,99.17,2026-06-23
19,866,857,98.96,2026-06-23
20,769,766,99.61,2026-06-23
21,645,643,99.69,2026-06-23
22,559,557,99.64,2026-06-23
23,395,394,99.75,2026-06-23
0,214,214,100.0,2026-06-24
1,131,131,100.0,2026-06-24
2,23,22,95.65,2026-06-24
3,10,10,100.0,2026-06-24
4,132,131,99.24,2026-06-24
5,614,613,99.84,2026-06-24
6,982,980,99.8,2026-06-24
7,1119,1119,100.0,2026-06-24
8,1113,1105,99.28,2026-06-24
9,1039,1029,99.04,2026-06-24
10,1014,1009,99.51,2026-06-24
11,998,992,99.4,2026-06-24
12,1016,1006,99.02,2026-06-24
13,1060,1051,99.15,2026-06-24
14,1111,1100,99.01,2026-06-24
15,1121,1111,99.11,2026-06-24
16,1121,1111,99.11,2026-06-24
17,1065,1056,99.15,2026-06-24
18,961,955,99.38,2026-06-24
19,866,860,99.31,2026-06-24
20,769,766,99.61,2026-06-24
21,645,643,99.69,2026-06-24
22,559,556,99.46,2026-06-24
23,395,394,99.75,2026-06-24
0,214,205,95.79,2026-06-25
1,131,126,96.18,2026-06-25
2,23,22,95.65,2026-06-25
3,10,10,100.0,2026-06-25
4,132,130,98.48,2026-06-25
5,614,612,99.67,2026-06-25
6,982,981,99.9,2026-06-25
7,1119,1118,99.91,2026-06-25
8,1113,1104,99.19,2026-06-25
9,1039,1033,99.42,2026-06-25
10,1014,1005,99.11,2026-06-25
11,998,990,99.2,2026-06-25
12,1016,1006,99.02,2026-06-25
13,1060,1049,98.96,2026-06-25
14,1111,1102,99.19,2026-06-25
15,1121,1111,99.11,2026-06-25
16,1121,1109,98.93,2026-06-25
17,1065,1053,98.87,2026-06-25
18,961,951,98.96,2026-06-25
19,866,853,98.5,2026-06-25
20,769,760,98.83,2026-06-25
21,645,636,98.6,2026-06-25
22,559,552,98.75,2026-06-25
23,395,388,98.23,2026-06-25
0,231,224,96.97,2026-06-26
1,195,192,98.46,2026-06-26
2,158,155,98.1,2026-06-26
3,146,140,95.89,2026-06-26
4,190,186,97.89,2026-06-26
5,614,603,98.21,2026-06-26
6,982,972,98.98,2026-06-26
7,1119,1106,98.84,2026-06-26
8,1113,1100,98.83,2026-06-26
9,1039,1024,98.56,2026-06-26
10,1014,1004,99.01,2026-06-26
11,998,985,98.7,2026-06-26
12,1016,1002,98.62,2026-06-26
13,1060,1049,98.96,2026-06-26
14,1111,1100,99.01,2026-06-26
15,1119,1110,99.2,2026-06-26
16,1120,1109,99.02,2026-06-26
17,1066,1054,98.87,2026-06-26
18,961,947,98.54,2026-06-26
19,866,856,98.85,2026-06-26
20,769,763,99.22,2026-06-26
21,649,646,99.54,2026-06-26
22,566,562,99.29,2026-06-26
23,404,400,99.01,2026-06-26
0,229,227,99.13,2026-06-27
1,195,191,97.95,2026-06-27
2,158,157,99.37,2026-06-27
3,145,145,100.0,2026-06-27
4,92,91,98.91,2026-06-27
5,279,278,99.64,2026-06-27
6,469,467,99.57,2026-06-27
7,544,541,99.45,2026-06-27
8,614,609,99.19,2026-06-27
9,766,760,99.22,2026-06-27
10,853,851,99.77,2026-06-27
11,870,868,99.77,2026-06-27
12,872,864,99.08,2026-06-27
13,867,857,98.85,2026-06-27
14,869,862,99.19,2026-06-27
15,868,856,98.62,2026-06-27
16,867,857,98.85,2026-06-27
17,860,846,98.37,2026-06-27
18,839,829,98.81,2026-06-27
19,783,775,98.98,2026-06-27
20,719,713,99.17,2026-06-27
21,625,617,98.72,2026-06-27
22,557,552,99.1,2026-06-27
23,399,395,99.0,2026-06-27
0,206,204,99.03,2026-06-28
1,125,122,97.6,2026-06-28
2,23,21,91.3,2026-06-28
3,9,8,88.89,2026-06-28
4,23,22,95.65,2026-06-28
5,140,138,98.57,2026-06-28
6,384,381,99.22,2026-06-28
7,463,459,99.14,2026-06-28
8,519,515,99.23,2026-06-28
9,630,627,99.52,2026-06-28
10,721,712,98.75,2026-06-28
11,748,741,99.06,2026-06-28
12,758,753,99.34,2026-06-28
13,756,747,98.81,2026-06-28
14,752,749,99.6,2026-06-28
15,755,749,99.21,2026-06-28
16,757,755,99.74,2026-06-28
17,751,746,99.33,2026-06-28
18,744,740,99.46,2026-06-28
19,727,723,99.45,2026-06-28
20,689,687,99.71,2026-06-28
21,619,617,99.68,2026-06-28
22,541,541,100.0,2026-06-28
23,386,384,99.48,2026-06-28
